,Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity (mm/s),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s)
183,32.85,38,39.333333333333336,39.4,38.875,38.9,20.48,-2.4844028520496693,-2.974598930481278,-0.5704099821746951,-3.921568627450927
184,33.01,39,39.0,39.4,38.875,38.9,20.54,6.071746880570458,-1.0732323232323608,0.28520499108735464,-2.0833333333333925
185,33.18,40,39.0,39.4,39.125,39.0,20.42,0.0,0.9803921568627487,0.29411764705882604,0.0
186,33.35,39,39.333333333333336,39.2,39.375,39.0,20.29,-5.882352941176407,0.0,0.0,1.9607843137254846
187,33.52,38,39.0,38.8,39.25,39.0,20.42,-2.9411764705881325,-2.941176470588303,0.29411764705884025,-1.9607843137254846
188,33.69,38,38.333333333333336,38.8,39.0,39.1,20.48,1.4210854715202004e-14,-2.974598930481335,-0.03676470588230529,-3.9215686274510912
189,33.85,38,38.0,38.6,38.75,39.0,20.35,2.8520499108734327,-0.12254901960781694,-0.6071746880570288,-2.0833333333333
190,34.02,39,38.333333333333336,38.4,38.625,38.9,20.29,-2.4158453015843406e-13,0.9803921568627345,-0.8823529411764781,1.9607843137254846
191,34.19,38,38.333333333333336,38.2,38.625,38.7,20.42,-2.5579538487363607e-13,0.9803921568626919,-0.8823529411764923,0.0
192,34.36,39,38.666666666666664,38.4,38.625,38.6,20.54,0.0,0.0,-0.29411764705882604,1.9607843137254426
193,34.53,38,38.333333333333336,38.4,38.375,38.6,20.42,0.36764705882370663,0.12254901960790221,0.0,-1.9607843137254426
194,34.69,39,38.666666666666664,38.6,38.375,38.6,20.48,3.2196969696970967,1.0732323232323608,-0.28520499108734043,2.083333333333348
195,34.86,39,38.666666666666664,38.6,38.5,38.5,20.42,-5.882352941176407,-0.9803921568627345,-0.8823529411764781,0.0
196,35.03,37,38.333333333333336,38.4,38.375,38.3,20.48,0.0,-0.9803921568627345,-0.29411764705882604,-1.9607843137254426
197,35.2,39,38.333333333333336,38.4,38.5,38.4,20.61,5.704099821746723,-1.4210854715202004e-14,0.607174688057043,0.0
198,35.36,39,38.333333333333336,38.6,38.5,38.5,20.48,1.4210854715202004e-14,1.9013666072489173,0.6071746880570714,0.0
199,35.53,39,39.0,38.6,38.625,38.6,20.42,5.882352941176407,3.921568627450938,0.8823529411764497,3.921568627450927
200,35.7,41,39.666666666666664,39.0,38.875,38.8,20.42,-4.831690603168681e-13,1.9607843137254264,0.8823529411764781,3.921568627450927
201,35.87,39,39.666666666666664,39.4,39.0,38.9,20.35,-2.4844028520504082,1.0732323232322756,0.6071746880570714,0.0
202,36.03,40,40.0,39.6,39.125,39.0,20.48,-2.484402852049996,-1.778817587641143,0.32196969696968836,2.0833333333333
203,36.2,38,39.0,39.4,39.0,39.0,20.48,2.9411764705888856,-0.980392156862564,0.5882352941176947,-5.8823529411764115
204,36.37,41,39.666666666666664,39.8,39.5,39.2,20.67,8.823529411765165,2.941176470588303,1.17647058823529,3.9215686274510912
205,36.54,41,40.0,39.8,39.75,39.4,20.42,-5.882352941176407,1.9607843137254832,1.1764705882352757,1.9607843137254846
206,36.71,39,40.333333333333336,39.8,39.75,39.6,20.54,-5.882352941176407,-0.9803921568627345,0.5882352941176521,1.9607843137254846
207,36.88,39,39.666666666666664,39.6,39.75,39.6,20.35,-3.2196969696970967,-5.121063576946,-0.321969696969731,-3.921568627450969
